conference,division,teamName,teamId,teamCity
EASTERN CONFERENCE,Southeast,Wizards,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,Washington
EASTERN CONFERENCE,Southeast,Hornets,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,Charlotte
EASTERN CONFERENCE,Southeast,Hawks,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,Atlanta
EASTERN CONFERENCE,Southeast,Heat,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,Miami
EASTERN CONFERENCE,Southeast,Magic,583ed157-fb46-11e1-82cb-f4ce4684ea4c,Orlando
EASTERN CONFERENCE,Atlantic,Knicks,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,New York
EASTERN CONFERENCE,Atlantic,76ers,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,Philadelphia
EASTERN CONFERENCE,Atlantic,Nets,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,Brooklyn
EASTERN CONFERENCE,Atlantic,Celtics,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,Boston
EASTERN CONFERENCE,Atlantic,Raptors,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,Toronto
EASTERN CONFERENCE,Central,Bulls,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,Chicago
EASTERN CONFERENCE,Central,Cavaliers,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Cleveland
EASTERN CONFERENCE,Central,Pacers,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,Indiana
EASTERN CONFERENCE,Central,Pistons,583ec928-fb46-11e1-82cb-f4ce4684ea4c,Detroit
EASTERN CONFERENCE,Central,Bucks,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,Milwaukee
WESTERN CONFERENCE,Northwest,Timberwolves,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,Minnesota
WESTERN CONFERENCE,Northwest,Jazz,583ece50-fb46-11e1-82cb-f4ce4684ea4c,Utah
WESTERN CONFERENCE,Northwest,Thunder,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,Oklahoma City
WESTERN CONFERENCE,Northwest,Trail Blazers,583ed056-fb46-11e1-82cb-f4ce4684ea4c,Portland
WESTERN CONFERENCE,Northwest,Nuggets,583ed102-fb46-11e1-82cb-f4ce4684ea4c,Denver
WESTERN CONFERENCE,Southwest,Grizzlies,583eca88-fb46-11e1-82cb-f4ce4684ea4c,Memphis
WESTERN CONFERENCE,Southwest,Rockets,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,Houston
WESTERN CONFERENCE,Southwest,Pelicans,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,New Orleans
WESTERN CONFERENCE,Southwest,Spurs,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,San Antonio
WESTERN CONFERENCE,Southwest,Mavericks,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,Dallas
WESTERN CONFERENCE,Pacific,Warriors,583ec825-fb46-11e1-82cb-f4ce4684ea4c,Golden State
WESTERN CONFERENCE,Pacific,Lakers,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,Los Angeles
WESTERN CONFERENCE,Pacific,Clippers,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,LA
WESTERN CONFERENCE,Pacific,Suns,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,Phoenix
WESTERN CONFERENCE,Pacific,Kings,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,Sacramento
